lat,lng,pred,cluster,model
1.469064754733728,103.7627339087612,0.1804325283333333,1,DLV3
1.469069194164726,103.7695564022101,0.4838494124999999,4,DLV3
1.469075746893872,103.7563983267627,0.3667269133333333,3,DLV3
1.469080304434778,103.7693180467225,0.38442528,3,DLV3
1.469096243616181,103.7580711721259,0.2455448238333333,1,DLV3
1.469098297675369,103.7570464048968,0.4149210866666666,3,DLV3
1.469104171408458,103.7625577149652,0.221969045,1,DLV3
1.469124396681811,103.7624672753895,0.166918825,1,DLV3
1.46912499573865,103.7651715599471,0.4659780916666667,4,DLV3
1.46913486437251,103.7690494552515,0.3615188766666666,3,DLV3
1.469136362943726,103.768296818482,0.269401,1,DLV3
1.4691383189021174,103.76868725168296,0.278428215,2,DLV3
1.469151920876669,103.7657622149776,0.7981040283333334,4,DLV3
1.469155092330323,103.7699180031448,0.2722345656666666,1,DLV3
1.46915647608174,103.756349970765,0.2872089558333333,2,DLV3
1.469166825548414,103.7557410579743,0.4766696983333333,4,DLV3
1.469181707133791,103.7681134561862,0.4319070633333333,3,DLV3
1.469195895367862,103.7641859913722,0.2102941516666666,1,DLV3
1.469199398228407,103.763616649348,0.1607662183333333,1,DLV3
1.4692111811043636,103.7598030027382,0.4216969183333334,3,DLV3
1.46923145957517,103.7580175113289,0.2844013695,2,DLV3
1.46924120757084,103.7684746995983,0.2991259333333333,2,DLV3
1.469256349409889,103.7667948287232,0.3343236383333334,2,DLV3
1.46927564352884,103.7575047733293,0.4334237116666666,3,DLV3
1.469290532426256,103.7656356142495,0.6504349399999999,4,DLV3
1.469294151137444,103.7630826723758,0.2575805366666666,1,DLV3
1.469298415131442,103.766790850316,0.3596428916666667,3,DLV3
1.4693166669684294,103.76956680316984,0.444190425,3,DLV3
1.469317805235735,103.7577829776525,0.5272242683333334,4,DLV3
1.469344073941023,103.7609474045562,0.0514401751666666,0,DLV3
1.469358420017302,103.7655754082188,0.5831151733333333,4,DLV3
1.469369132874482,103.7643949864723,0.1058294121666666,0,DLV3
1.469435045479829,103.7611530352133,0.1487570636666666,1,DLV3
1.469449882405611,103.7619437348783,0.2627337173333333,1,DLV3
1.46945244117294,103.7610905326543,0.0940367136666666,0,DLV3
1.469462757606344,103.7642235644944,0.1854140296666666,1,DLV3
1.4694794675261986,103.75605418937732,0.46890535,4,DLV3
1.469521962891596,103.7653517355366,0.436567865,3,DLV3
1.469561700380059,103.7598003519619,0.3198336033333333,2,DLV3
1.469582399828638,103.7679739454075,0.2814480741666667,2,DLV3
1.46964346900653,103.76709226298236,0.28874543,2,DLV3
1.469646008179004,103.764254860703,0.2771498666666667,2,DLV3
1.469655135313322,103.7679186008674,0.250890365,1,DLV3
1.469667391445594,103.7595128610096,0.5775331483333334,4,DLV3
1.46968036501063,103.7615372453589,0.1746932803333333,1,DLV3
1.469695846037069,103.7693178699011,0.134194469,0,DLV3
1.469706761364639,103.7599042272267,0.311878745,2,DLV3
1.469712418393998,103.7620196755317,0.2306262845,1,DLV3
1.469723955390923,103.7683951304814,0.3484277588333333,2,DLV3
1.469735506482214,103.759451066448,0.580008995,4,DLV3
1.4697524369386818,103.75956463993982,0.5775331483333334,4,DLV3
1.469758591478284,103.7567224980421,0.314541855,2,DLV3
1.469761407582228,103.7692396264449,0.1017537514999999,0,DLV3
1.4697784757849,103.7676877631035,0.3692399116666666,3,DLV3
1.469819879035244,103.7640662878953,0.2528850116666667,1,DLV3
1.469826409607287,103.763974609603,0.3896637533333333,3,DLV3
1.469839617019415,103.7637908111706,0.2770931586666667,2,DLV3
1.469840956202894,103.7582994296603,0.0481813581666666,0,DLV3
1.469848352230499,103.7678819992192,0.2464563696666666,1,DLV3
1.469855109112072,103.7600103126866,0.4393512183333333,3,DLV3
1.469861942825087,103.75752174347367,0.3806707183333333,3,DLV3
1.469891645407808,103.7620751944534,0.2732715066666666,2,DLV3
1.469895639906486,103.7690793380154,0.2459188923333333,1,DLV3
1.469899804395696,103.768188250998,0.2698411723333333,1,DLV3
1.469921658141235,103.7582555815523,0.0592227953333333,0,DLV3
1.4699227208838,103.7651688192997,0.3103408103333333,2,DLV3
1.4699424608233396,103.76132706598902,0.2064627941666666,1,DLV3
1.469956899192278,103.7622176165054,0.2472366833333333,1,DLV3
1.470002791848752,103.7582115566518,0.1167016661666666,0,DLV3
1.470017108820225,103.7680504199292,0.2609930366666667,1,DLV3
1.470022388157227,103.7575472951475,0.2222305295,1,DLV3
1.470034905047084,103.7643045456594,0.4284259675,3,DLV3
1.470072073725489,103.7565243883671,0.15757483,1,DLV3
1.470078987564819,103.7675765438245,0.2414753183333333,1,DLV3
1.470083350111323,103.7581677969759,0.0867249128333333,0,DLV3
1.470136241191113,103.7611242150764,0.194721385,1,DLV3
1.470154170054714,103.7602230142861,0.67090445,4,DLV3
1.4701800244778966,103.76921148035936,0.264261765,1,DLV3
1.4701927932012004,103.7572493063614,0.2171640116666666,1,DLV3
1.470213380624873,103.7651418548682,0.61454288,4,DLV3
1.470217777429985,103.7592341226761,0.3771256483333333,3,DLV3
1.470227806750184,103.7564260850582,0.315401524,2,DLV3
1.470240320160579,103.7610822225568,0.1803510093333333,1,DLV3
1.470285535587034,103.7592978620283,0.3186930016666666,2,DLV3
1.470293495888956,103.76860448577,0.061510525,0,DLV3
1.470305906582723,103.7603266246637,0.6236105966666666,4,DLV3
1.470321989774672,103.758028738545,0.1614843571666666,1,DLV3
1.470333381725069,103.7663220179513,0.1508915365,1,DLV3
1.470352081910239,103.7593603637525,0.3262591366666666,2,DLV3
1.470361048359307,103.7647393340153,0.1565164736666666,1,DLV3
1.470387205671154,103.7659427449932,0.2175324233333333,1,DLV3
1.470399060403134,103.7579806471694,0.1827369173333333,1,DLV3
1.470400133625007,103.763816979667,0.2062993745,1,DLV3
1.470402964302078,103.7655814199799,0.2751334283333333,2,DLV3
1.470409530970355,103.7654269708518,0.2559423208333333,1,DLV3
1.470411993610359,103.7587886552883,0.109966175,0,DLV3
1.470413240486929,103.7650764329915,0.3306809266666666,2,DLV3
1.4704213736892,103.7677434611872,0.2228629866666666,1,DLV3
1.47042716966852,103.7636589962882,0.2239856815,1,DLV3
1.470487013158946,103.7670025017441,0.3652975666666666,3,DLV3
1.470487392961912,103.7579101013961,0.2829215498333333,2,DLV3
1.470500974403045,103.7627945555503,0.3365442485,2,DLV3
