,lat,lng,heading
0,1.4614295,103.7624272,300
1,1.4615539,103.7622984,0
2,1.4615539,103.7622984,60
3,1.4615539,103.7622984,120
4,1.4615539,103.7622984,180
5,1.4615539,103.7622984,240
6,1.4615539,103.7622984,300
7,1.4618615,103.7661095,0
8,1.4618615,103.7661095,60
9,1.4618615,103.7661095,120
10,1.4618615,103.7661095,180
11,1.4618615,103.7661095,240
12,1.4618615,103.7661095,300
13,1.4620154,103.7620973,0
14,1.4620154,103.7620973,60
15,1.4620154,103.7620973,120
16,1.4620154,103.7620973,180
17,1.4620154,103.7620973,240
18,1.4620154,103.7620973,300
19,1.4620441,103.7689285,0
20,1.4620441,103.7689285,60
21,1.4620441,103.7689285,120
22,1.4620441,103.7689285,180
23,1.4620441,103.7689285,240
24,1.4620441,103.7689285,300
25,1.4621769,103.7661369,0
26,1.4621769,103.7661369,60
27,1.4621769,103.7661369,120
28,1.4621769,103.7661369,180
29,1.4621769,103.7661369,240
30,1.4621769,103.7661369,300
31,1.4626641,103.7677407,0
32,1.4626641,103.7677407,60
33,1.4626641,103.7677407,120
34,1.4626641,103.7677407,180
35,1.4626641,103.7677407,240
36,1.4626641,103.7677407,300
37,1.4628334,103.7647286,0
38,1.4628334,103.7647286,60
39,1.4628334,103.7647286,120
40,1.4628334,103.7647286,180
41,1.4628334,103.7647286,240
42,1.4628334,103.7647286,300
43,1.4633252,103.7646172,0
44,1.4633252,103.7646172,60
45,1.4633252,103.7646172,120
46,1.4633252,103.7646172,180
47,1.4633252,103.7646172,240
48,1.4633252,103.7646172,300
49,1.4634067,103.7660294,0
50,1.4634067,103.7660294,60
51,1.4634067,103.7660294,120
52,1.4634067,103.7660294,180
53,1.4634067,103.7660294,240
54,1.4634067,103.7660294,300
55,1.4634153,103.7619788,0
56,1.4634153,103.7619788,60
57,1.4634153,103.7619788,120
58,1.4634153,103.7619788,180
59,1.4634153,103.7619788,240
60,1.4634153,103.7619788,300
61,1.4636326,103.7646082,0
62,1.4636326,103.7646082,60
63,1.4636326,103.7646082,120
64,1.4636326,103.7646082,180
65,1.4636326,103.7646082,240
66,1.4636326,103.7646082,300
67,1.4638533,103.7647117,0
68,1.4638533,103.7647117,60
69,1.4638533,103.7647117,120
70,1.4638533,103.7647117,180
71,1.4638533,103.7647117,240
72,1.4638533,103.7647117,300
73,1.4639033,103.764895,0
74,1.4639033,103.764895,60
75,1.4639033,103.764895,120
76,1.4639033,103.764895,180
77,1.4639033,103.764895,240
78,1.4639033,103.764895,300
79,1.4639632,103.7627382,0
80,1.4639632,103.7627382,60
81,1.4639632,103.7627382,120
82,1.4639632,103.7627382,180
83,1.4639632,103.7627382,240
84,1.4639632,103.7627382,300
85,1.4641242,103.765976,0
86,1.4641242,103.765976,60
87,1.4641242,103.765976,120
88,1.4641242,103.765976,180
89,1.4641242,103.765976,240
90,1.4641242,103.765976,300
91,1.4645954,103.7624328,0
92,1.4645954,103.7624328,60
